feature,model,target,n_samples,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Pearson_R_mean,Pearson_R_std,Spearman_R_mean,Spearman_R_std,MAPE_mean,MAPE_std,NRMSE_mean,NRMSE_std
RDKitFP,KNN,HLM CLint,752,10,111.8247,20.1308,42.5387,3.3851,0.2784,0.0753,0.5375,0.0679,0.6300,0.0167,7811174376.5197,2019235681.6831,2.0681,0.2485
AtomPair,KNN,HLM CLint,752,10,113.2375,20.2088,41.3731,3.5071,0.2581,0.0949,0.5255,0.0766,0.6908,0.0216,7543707842.5801,2539918729.9595,2.0955,0.2615
ECFP,KNN,HLM CLint,752,10,116.4349,19.0361,42.6254,2.6545,0.2140,0.0784,0.4897,0.0749,0.6290,0.0279,8847400933.7362,2396629624.9619,2.1562,0.2338
MOL2VEC,KNN,HLM CLint,752,10,116.8988,19.5199,43.3868,3.5797,0.2101,0.0620,0.4812,0.0586,0.6582,0.0245,6963978579.4982,2138197321.5241,2.1632,0.2309
TOPOTOR,KNN,HLM CLint,752,10,117.0757,20.1692,44.5254,3.3316,0.2076,0.0754,0.4645,0.0824,0.5969,0.0287,10450875587.7068,2520059830.9261,2.1664,0.2442
MACCS,KNN,HLM CLint,752,10,120.2917,17.4115,45.9922,2.5787,0.1524,0.1421,0.4421,0.0691,0.5858,0.0441,8337409722.1460,2140033380.1784,2.2288,0.2018
AtomPair,KNN,KSOL,1026,10,80.1867,1.3453,56.3049,1.4578,0.5143,0.0154,0.7209,0.0096,0.7044,0.0105,23.7381,18.1608,0.5513,0.0177
ECFP,KNN,KSOL,1026,10,82.6767,1.5844,62.1119,1.3891,0.4835,0.0208,0.6963,0.0146,0.6752,0.0181,27.4989,16.0193,0.5683,0.0152
MOL2VEC,KNN,KSOL,1026,10,83.5289,1.8671,59.8986,1.8158,0.4729,0.0214,0.6923,0.0137,0.6802,0.0153,28.6620,24.4075,0.5742,0.0158
TOPOTOR,KNN,KSOL,1026,10,83.6218,1.3605,61.8473,1.1530,0.4717,0.0169,0.6882,0.0116,0.6701,0.0151,29.5997,22.1427,0.5748,0.0131
RDKitFP,KNN,KSOL,1026,10,84.3030,1.5820,59.9615,2.0784,0.4630,0.0208,0.6862,0.0139,0.6680,0.0154,20.1250,11.9023,0.5796,0.0198
MACCS,KNN,KSOL,1026,10,88.3574,2.0139,63.4582,2.8641,0.4101,0.0246,0.6526,0.0161,0.6304,0.0167,26.7661,16.9817,0.6074,0.0179
MOL2VEC,KNN,LogD,1008,10,0.5969,0.0293,0.4293,0.0159,0.7463,0.0172,0.8645,0.0100,0.8560,0.0098,31490249.2960,16474391.0785,0.2767,0.0143
AtomPair,KNN,LogD,1008,10,0.6346,0.0304,0.4581,0.0146,0.7134,0.0177,0.8454,0.0105,0.8362,0.0105,22814186.5713,10178155.4818,0.2942,0.0153
MACCS,KNN,LogD,1008,10,0.6753,0.0311,0.4896,0.0178,0.6752,0.0222,0.8234,0.0131,0.8096,0.0126,35790790.6678,21863708.7290,0.3131,0.0153
ECFP,KNN,LogD,1008,10,0.6976,0.0311,0.5270,0.0243,0.6533,0.0237,0.8091,0.0138,0.7949,0.0166,30417600.4091,17003901.4517,0.3234,0.0142
TOPOTOR,KNN,LogD,1008,10,0.7110,0.0247,0.5365,0.0162,0.6399,0.0210,0.8009,0.0120,0.7849,0.0120,34856547.0595,13745349.0630,0.3296,0.0116
RDKitFP,KNN,LogD,1008,10,0.7155,0.0215,0.5201,0.0191,0.6353,0.0187,0.7991,0.0116,0.7894,0.0117,26035836.1897,13097290.9496,0.3317,0.0107
AtomPair,KNN,MLM CLint,905,10,797.0643,59.5722,386.0430,16.2606,0.3570,0.0567,0.6074,0.0325,0.7666,0.0138,40524967986.9973,31330306793.2032,1.4148,0.0689
RDKitFP,KNN,MLM CLint,905,10,806.4842,75.1896,394.3572,22.5158,0.3442,0.0507,0.5970,0.0358,0.7401,0.0164,55449203274.6494,47749390325.8193,1.4306,0.0929
TOPOTOR,KNN,MLM CLint,905,10,810.5738,66.4107,402.3466,20.8976,0.3374,0.0271,0.5870,0.0225,0.7306,0.0172,42652830148.4009,32395652144.2107,1.4388,0.0861
ECFP,KNN,MLM CLint,905,10,813.8335,78.1310,410.9866,28.0265,0.3319,0.0583,0.5820,0.0435,0.7266,0.0196,46175703140.5908,39582932008.6169,1.4434,0.0949
MOL2VEC,KNN,MLM CLint,905,10,815.1688,72.0154,402.2875,19.1514,0.3306,0.0260,0.5800,0.0232,0.7308,0.0169,42501032110.6371,29098615224.7753,1.4466,0.0932
MACCS,KNN,MLM CLint,905,10,879.7505,56.7430,446.7302,21.9393,0.2154,0.0709,0.4881,0.0513,0.6793,0.0305,42217007275.2270,25035636879.8240,1.5615,0.0461
