target,winning_model,winning_feature,sMAPE_mean,sMAPE_std,MAPE_mean,R2_mean,RMSE_mean,MAE_mean,n_seeds
LogD,FNN,MOL2VEC,22.732603168159535,1.2690264550253563,13.136440528100184,0.8653410203658071,0.43425034773388604,0.30518757425396453,5
MGMB,FNN,RDKitFP,48.61792853021227,6.35670685263082,54.00552562040845,0.3377247310433964,7.574148666511237,3.941457951473872,5
Caco-2 Permeability Efflux,KNN,MOL2VEC,51.866878539683476,2.4183413780724208,77.03161745406958,0.23867795767459202,8.743941818529343,3.1401539530449774,5
MPPB,FNN,MOL2VEC,57.24169996149643,8.845477055801034,63.96837869538871,0.6509054360492966,9.769860450649258,6.0912905602659535,5
Caco-2 Permeability Papp A>B,FNN,MOL2VEC,60.762390819398526,3.2739685521029602,87.5317417840398,0.524682464530094,7.376461818907387,5.432006859414557,5
MBPB,FNN,MOL2VEC,61.64495601267272,5.0925280435811295,66.05526694027068,0.5906691214811695,7.04037636133054,3.760547806550907,5
KSOL,KNN,AtomPair,64.61001653176528,2.440851022337887,77.68761339920067,0.5142506216769279,80.1866680198103,56.30488996723824,10
MLM CLint,KNN,AtomPair,74.70763742664573,2.042409197766562,142.1359022662138,0.3569946860878469,797.0643244969721,386.0429652593106,10
HLM CLint,KNN,AtomPair,76.06684079406674,2.5788582471402375,152.77443081881975,0.25813284582486956,113.23745457474863,41.37314553365458,10
