Endpoint,rank,MA-RAE,R2,Spearman R,Kendall's Tau
Overall,119,0.68 +/- 0.03,0.45 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02
LogD,,0.46 +/- 0.01,0.64 +/- 0.02,0.80 +/- 0.01,0.63 +/- 0.01
KSOL,,0.44 +/- 0.01,0.40 +/- 0.03,0.63 +/- 0.02,0.45 +/- 0.02
HLM CLint,,0.36 +/- 0.02,0.05 +/- 0.06,0.46 +/- 0.04,0.33 +/- 0.03
MLM CLint,,0.43 +/- 0.01, 0.14 +/- 0.05,0.52 +/- 0.03,0.36 +/- 0.02
Caco-2 Permeability Papp A>B,,0.23 +/- 0.01,0.45 +/- 0.03,0.68 +/- 0.02,0.49 +/- 0.02
Caco-2 Permeability Efflux,,0.29 +/- 0.01,0.48 +/- 0.02, 0.75 +/- 0.02,0.55 +/- 0.02
MPPB,,0.21 +/- 0.01,0.57 +/- 0.04,0.75 +/- 0.03,0.56 +/- 0.03
MBPB,,0.18 +/- 0.01,0.68 +/- 0.03,0.82 +/- 0.03,0.65 +/- 0.03
MGMB,,0.21 +/- 0.01,0.58 +/- 0.05,0.76 +/- 0.03,0.58 +/- 0.03
