Endpoint,rank,MA-RAE,R2,Spearman R,Kendall's Tau
Overall,115,0.67 +/- 0.03,0.48 +/- 0.03,0.70 +/- 0.03,0.52 +/- 0.02
LogD,,0.46 +/- 0.01,0.64 +/- 0.02,0.80 +/- 0.01,0.63 +/- 0.01
KSOL,,0.44 +/- 0.01,0.46 +/- 0.03,0.63 +/- 0.02,0.45 +/- 0.02
HLM CLint,,0.33 +/- 0.01,0.27 +/- 0.04,0.49 +/- 0.04,0.35 +/- 0.03
MLM CLint,,0.37 +/- 0.01,0.37 +/- 0.04,0.56 +/- 0.03,0.39 +/- 0.02
Caco-2 Permeability Papp A>B,,0.22 +/- 0.01,0.49 +/- 0.03,0.67 +/- 0.02,0.49 +/- 0.02
Caco-2 Permeability Efflux,,0.31 +/- 0.01,0.39 +/- 0.03,0.76 +/- 0.02,0.56 +/- 0.02
MPPB,,0.22 +/- 0.01,0.53 +/- 0.04,0.75 +/- 0.03,0.56 +/- 0.03
MBPB,,0.21 +/- 0.01,0.60 +/- 0.04,0.82 +/- 0.03,0.65 +/- 0.03
MGMB,,0.23 +/- 0.01,0.53 +/- 0.05,0.78 +/- 0.03,0.59 +/- 0.03
